,title,tags
384,my left foot: the story of christy brown,true stori told flashback christi brown born crippl cerebr palsi poor work class irish famili abl control movement left foot speak guttur sound mistakenli believ retard first ten year life drama ferndalefilm granadatelevis radiotelefíséireann(rté) danielday-lewi brendafrick alisonwhelan declancroghan eannamacliam marieconme kirstensheridan cyrilcusack phelimdrew ruthmccab fionashaw raymcan patlaffan derrypow eileencolgan tomhickey brittasmith adriandunbar danielreardon naomisheridan
385,strictly ballroom,brave new step put scott career jeopardi partner determin still succeed comedi drama romanc beyondfilm australianfilmfinancecorporation(affc) m&a paulmercurio taramoric billhunt barryotto patthomson giacarid krismcquad peterwhitford johnhannan kerryshrimpton soniakrug toddmckenney pipmushin stevegrac
386,madonna: truth or dare,rain japan threat arrest public indec canada birthday tribut father detroit documentari follow madonna 1990 blond ambit concert tour film black white piec glitter mtv color intim look work music perform prayer circl dancer perform bed game danc troup afterward documentari music miramaxfilm artisanentertain madonna alpacino kevincostn antoniobandera donnadelori warrenbeatti nikiharri luiscamacho
387,one flew over the cuckoo's nest,serv time insan state mental hospit implac rabbl rouser randl patrick mcmurphi inspir fellow patient rebel authoritarian rule head nurs mildr ratch drama unitedartist fantasyfilm warnerbros. jacknicholson louisefletch dannydevito williamredfield scatmancroth braddourif christopherlloyd willsampson deanr.brook michaelberryman sydneylassick williamduel vincentschiavelli peterbrocco alonzobrown mwakocumbuka josipel kenkenni nathangeorg tedmarkland louisamoritz mewssmal delosv.smithjr. lanfendor mimisarkisian mellambert kayle dwightmarfield tinwelch auroreclé anjelicahuston audreyland saulzaentz
388,the empire strikes back,epic saga continu luke skywalk hope defeat evil galact empir learn way jedi age master yoda darth vader determin ever captur meanwhil rebel leader princess leia cocki han solo chewbacca droid c 3po r2 d2 thrown variou stage betray despair adventur action sciencefict lucasfilm twentiethcenturyfoxfilmcorpor markhamil harrisonford carriefish billydeewilliam anthonydaniel davidprows kennybak petermayhew frankoz jamesearljon kathrynmullen wendyfroud jeremybulloch jasonwingreen temueramorrison cliverevil marjorieeaton ianmcdiarmid alecguin johnholli jackpurvi deswebb julianglov kennethcolley johnratzenberg michaelsheard michaelculv johndick miltonjohn markjon olivermaguir robinscobey bruceboa christophermalcolm denislawson ianliston johnmorton richardoldfield jackmckenzi jerryhart normanchanc norwichduff rayhassett brigittekahn burnelltuck bobanderson lightningbear richardbonehil johncannon markcapri martindew peterdiamond stuartfel dougrobinson tonysmart alanharri tiffanyl.kurtz macmcdonald ralphmcquarri ralphmors terryrichard michaelsantiago treatwilliam shauncurri alanausten jimdowdal iandurr tomegeland alanflyng chrisparson trevorbutterfield christopherbunn quentinpierr keithswaden howiewe morrisbush
389,the princess bride,enchantingli crack fairi tale beauti princess buttercup dash westley must overcom stagger odd find happi amid six finger swordsmen murder princ sicilian rodent unusu size even death stop true lovebird triumph adventur famili fantasi comedi romanc actiiicommun theprincessbrideltd. buttercupfilmsltd. caryelw robinwright mandypatinkin andréthegi chrissarandon christopherguest wallaceshawn peterfalk billycryst fredsavag carolkan melsmith petercook willoughbygray annedyson margerymason malcolmstorri betsybrantley paulbadg errolbennett willydevil mickeyfeat guyfletch markknopfl jamielan salliemclaughlin derekpykett
390,raiders of the lost ark,dr indiana jone – tweed suit professor happen celebr archaeologist hire govern locat legendari ark coven find entir nazi regim adventur action lucasfilm paramountpictur harrisonford karenallen paulfreeman ronaldlacey johnrhys-davi denholmelliott wolfkahl anthonyhiggin victablian donfellow williamhootkin alfredmolina eddietago georgeharri billreimbold fredsorenson patrickdurkin matthewscurfield malcolmweav sonnycaldinez anthonychinn patroach christopherfrederick tuttelemkow ishaqbux kiranshah souadmessaoudi terryrichard stevehanson frankmarshal martinkreidt johnre tonyvogel tedgrossman vicarmstrong peterdiamond nickgillard romogorrara ricklest rockytaylor reghard harryfield barrieholland billyhorrigan terryleonard sergiomioni dennismuren glennrandalljr. michaelsheard frankwelk
391,aliens,ripley lifepod found salvag crew 50 year later find terra former planet alien speci compani send famili colonist investig stori contact lost enlist coloni marin return search answer horror action thriller sciencefict twentiethcenturyfoxfilmcorpor slmproductiongroup brandywineproduct sigourneyweav michaelbiehn jamesremar paulreis lancehenriksen carriehenn billpaxton williamhop jenettegoldstein almatthew markrolston riccoross colettehil danielkash cynthiadalescott tiptip trevorsteedman paulmaxwel carltoop valeriecolgan alanpolonski alibeparson blainfairman barbaracol eddiepowel jaybenedict
392,"the good, the bad and the ugly",civil war rage union confederaci three men – quiet loner ruthless hit man mexican bandit comb american southwest search strongbox contain 200 000 stolen gold western unitedartist constantinfilmprodukt produzionieuropeeassociati(pea) arturogonzálezproduccionescinematográficass.a. eliwallach clinteastwood leevancleef aldogiuffrè luigipistilli radarassimov johnbartha liviolorenzon antoniocasal angelonovi joséterrón enzopetito claudioscarchilli sandroscarchilli benitostefanelli antoniocasa aldosambrel almulock sergiomendizáb antoniomolinorojo lorenzorobledo mariobrega cheloalonso fortunatoarena románariznavarreta silvanabacci frankbraña amerigocastrighella saturnocerra luigiciavarro romanopuppo tonydimitri attiliodottesio verianoginesi jesúsguzmán víctorisrael nazzarenonatal ricardopalacio antoñitoruiz aysanoarunachagua philipettington
393,12 angry men,defens prosecut rest juri file room decid young spanish american guilti innoc murder father begin open shut case soon becom mini drama juror prejudic preconcept trial accus drama unitedartist orion-novaproduct henryfonda martinbalsam johnfiedl leej.cobb e.g.marshal jackklugman edwardbinn jackwarden josephsweeney edbegley georgevoskovec robertwebb rudybond jameskelli billynelson johnsavoca walterstock
394,lawrence of arabia,epic british offic e lawrenc mission aid arab tribe revolt ottoman empir first world war becom flamboy messian figur caus uniti psycholog instabl threaten undermin achiev adventur drama histori war horizonpictures(ii) alecguin anthonyquinn jackhawkin omarsharif clauderain anthonyquayl joséferr arthurkennedi donaldwolfit ziamohyeddin i.s.johar gamilratib michelray johndimech howardmarion-crawford jackgwillim hughmil robertrietti johnbarri brucebeebi johnbennett stevebirtl davidlean robertbolt danielmoynihan peterburton jameshayt barrywarren j.r.m.chapman basildignam peterdukelow bryanpringl mohamedelhabachi kennethfortescu harryfowl jackhedley fernandosancho noelhowlett patrickkavanagh ianmacnaughton clivemorton henryoscar georgeplimpton ernieric johnrobinson normanrossington johnruddock stuartsaund cyrilshap roysteven rafaelhernández fredbennett
395,a clockwork orange,"demon gang leader alex goe spree rape mug murder pack droog "". boy also like beethoven ninth bit old later find merci state brainwash experi design take violenc street sciencefict drama hawkfilm warnerbros. malcolmmcdowel patrickmage adriennecorri michaelb warrenclark jamesmarcu michaeltarn carlduer paulfarrel miriamkarlin sheilaraynor aubreymorri godfreyquigley clivefr richardconnaught paulinetaylor philipston davidprows michaelgov"
396,to kill a mockingbird,small alabama town 1930 scrupul honest highli respect lawyer atticu finch put career line agre repres tom robinson black man accus rape trial event surround seen eye six year old daughter scout give movi momentum plenti anecdot occurr court date ever strengthen bond older brother jem friendship precoci young dill harri father nonsens reaction life death crise rampag mad dog especi relationship boo radley reclus villag idiot turn salvat attack venom bigot crime drama universalpictur gregorypeck brockpet jamesanderson marybadham phillipalford johnmegna estelleevan collinwilcoxpaxton frankoverton rosemarymurphi ruthwhit robertduval paulfix aliceghostley williamwindom crahandenton richardhal r.l.armstrong eddiebak bobbybarb dannyborzag johnbreen jesscavin stevecondit davidcrawford frankelli charlesfrederick hermanhack jesterhairston chuckhamilton kimhamilton michaeljeff dickjohnston colinkenni ethanlaidlaw nancymarshal charlesmorton paulenemy joeploski hughsand mabelsmaney capsom georgesoward rayspik kimstanley kellythordsen arthurtovey sailorvinc maxwagn billwalk joewal danwhit guywilkerson chalkywilliam audreybetz
397,apocalypse now,"height vietnam war captain benjamin willard sent danger mission offici exist ever ."" goal locat elimin mysteri green beret colonel name walter kurtz lead person armi illeg guerrilla mission enemi territori drama war unitedartist zoetropestudio martinsheen marlonbrando robertduval fredericforrest sambottom laurencefishburn alberthal harrisonford dennishopp g.d.spradlin jerryziesm scottglenn jameskean kerryrossal colleencamp cynthiawood lindacarpent jackthibeau tommason damienleak marccoppola glennwalken billgraham jerryross charlesrobinson nicknicholson dongordonbel evana.lottman r.leeermey jimgain charliesheen vittoriostoraro francisfordcoppola henrystrzalkowski lonniewoodley auroreclé"
398,once upon a time in the west,classic western masterpiec epic film widow whose land life danger railroad get closer take mysteri harmonica player join forc desperado protect woman western paramountpictur rafrancinematografica finanziasanmarco henryfonda claudiacardinal jasonrobard charlesbronson gabrieleferzetti paolostoppa woodystrod jackelam keenanwynn frankwolff lionelstand almulock aldosambrel fabiotesti
399,return of the jedi,rebel leader map strategi attack emperor newer bigger death star han solo remain frozen cavern desert fortress jabba hutt loathsom outlaw univers also keep princess leia slave girl master forc luke skywalk rescu friend cannot becom true jedi knight wage crucial battl darth vader sworn win dark side adventur action sciencefict lucasfilm twentiethcenturyfoxfilmcorpor markhamil harrisonford carriefish billydeewilliam anthonydaniel davidprows kennybak petermayhew frankoz ianmcdiarmid jamesearljon sebastianshaw alecguin warwickdavi carolineblakiston michaelpennington kennethcolley michaelcart denislawson timros dermotcrowley jeremybulloch femitaylor anniearbogast clairedavenport jackpurvi mikeedmond janebusbi malcolmdixon mikecottrel nickiread adambareham jonathanoliv pipmil tommannion margoapostolo rayarmstrong eileenbak michaelhenburyballan bobbybel pattybel alanbennett sarahbennett pamelabett dannyblackn lindabowley peterburrough debbieleecarrington maureencharlton williecoppen sadiecorr tonycox johncum luisdejesu debbiedixon margaritafernández philfondacaro salfondacaro tonyfriel danielfrishman johnghavan michaelgilden paulgrant lydiagreen larsgreen pamgrizz andrewherd j.j.jackson richardjon trevorjon glynnjon karenlay johnlummiss nancymaclean petermandel carolemorri stacienichol chrisnunn brianorenstein harrellparkerjr. johnpedrick aprilperkin ronniephillip katiepurvi carolread nicholasread dianareynold daniellerodg chrisromano deanshackelford kiranshah felixsilla lindasprigg geraldstaddon josephinestaddon kevinthompson kendrawal brianwheel butchwilhelm dalynchew celiafushille-burk mercedesngoh jenniferjaff markdodson simonj.williamson richardbonehil davidgonzal barrieholland peterroy erikbauersfeld mikequinn billkipsangrotich deeproy alisaberk hughspight sweelim richardrobinson geraldhom philherbert timdri seancrawford philtippett michaelmccormick tobyphilpott davidalanbarclay larryward
400,wings of desire,wing desir wim wender ’ artist beauti film lone immort life angel post war berlin poetic journey perspect one fall love live woman want becom mortal human thu give heavenli film black white feel celebr drama fantasi romanc roadmoviesfilmproduktiongmbh argosfilm westdeutscherrundfunk(wdr) brunoganz ottosand solveigdommartin curtboi peterfalk hansmartinsti beatricemanowski elmarwilm nickcav chickortega
401,goodfellas,true stori henri hill half irish sicilian brooklyn kid adopt neighbourhood gangster earli age climb rank mafia famili guidanc jimmi conway drama crime winklerfilm robertdeniro rayliotta joepesci lorrainebracco paulsorvino franksivero tonydarrow mikestarr frankvinc chucklow frankdileo hennyyoungman ginamastrogiacomo catherinescorses charlesscorses suzanneshepherd debimazar margowinkl welkerwhit jerryval juliegarfield christopherserron elainekagan beaustarr kevincorrigan michaelimperioli robbievinton johnnywilliam danielp.cont tonyconforti frankpellegrino ronaldmaccon tonysirico steveforleo richarddioguardi frankadoni johnmanca josephbono katherinewallach markevanjacob angelapietropinto marianneleonecoop mariemichael lonardo melissaprophet illeanadougla susanvaron elizabethwhitcraft clemcaserta samuell.jackson franmcge paulherman edwardmcdonald edwardhay danielabarbosa ginamattia joelcalendrillo anthonyvalentin edwardd.murphi michaelcitrin peterhock erasmusc.alfano johndibenedetto mannyalfaro thomaslowri margaretsmith richardmul frankalbanes paulmcisaac bobgolub louiseppolito tonylip mikeyblack petercical anthonypow vincentpastor anthonyalessandro victorcolicchio mikecontessa philipsuriano paulmougey normanbarbera anthonypolemeni jamesquattrochi lawrencesacco dinolaudicina thomase.camuti andrewscudiero irvingwelz jessekirtzman russellhalley spencerbradley bobaltman joannabennett gaylelewi gaetanolisi lukewalt eddeaci larrysilvestri vitopicon janiscorsair lisadapolito frankaquilino michaelcalandrino vitoantuofermo vincentgallo gaetanologiudic garrypastor nicoleburdett stellakeitel dominiquedevito michaelangelograziano paulakcira nadinekay tonyelli peteronorati jamiederoy joelblak h.claydear thomashewson genecanfield margauxguerard violetgaynor tobinbel berlindatolbert nancycassaro adamwandt joegioco isiahwhitlockjr. alysonjon rubygaynor bodietl frankcassini anthonycaso lisabostnar
402,alien,return earth commerci spaceship nostromo intercept distress signal distant planet three member team crew discov chamber contain thousand egg creatur insid one attack explor entir unawar impend nightmar set descend upon alien parasit plant unfortun host birth horror action thriller sciencefict twentiethcenturyfoxfilmcorpor brandywineproduct tomskerritt sigourneyweav veronicacartwright harrydeanstanton johnhurt ianholm yaphetkotto bolajibadejo helenhorton eddiepowel
403,ran,"set japan 16th centuri ), elderli warlord retir hand empir three son howev vastli underestim new found power corrupt caus turn ... action drama histori nipponheraldfilm greenwichfilmproduct heraldac akiraterao jinpachinezu daisukeryû tatsuyanakadai miekoharada yoshikomiyazaki hisashiigawa pîtâ masayukiyui kazuokatô noriomatsui toshiyaito kenjikodama mansainomura takeshikatô juntazaki hitoshiueki tokiekanda sawakokochi reikonanjo kumekootowa heihachirosuzuki susumuterajima harukotôgô"
404,psycho,larcen real estat clerk marion crane goe lam wad cash hope start new life end notori bate motel manag norman care housebound mother place seem quirki fine … decid take shower drama horror thriller paramountpictur universalpictur shamleyproduct anthonyperkin veramil johngavin janetleigh martinbalsam johnmcintir simonoakland frankalbertson patriciahitchcock vaughntaylor lurenetuttl mortmil johnanderson alfredhitchcock walterbacon francisdesal georgedockstad harperflaherti fredscheiwil georgeeldredg samflint virginiagregg jeanettenolan frankkillmond tedknight patmccaffri hansmoebu helenwallac robertosborn
405,the blues brothers,"jake blue jail team brother elwood mission god rais fund orphanag grew thing best – play music get old band togeth way get bit troubl music comedi action crime universalpictur danaykroyd johnbelushi jamesbrown cabcalloway raycharl arethafranklin stevecropp donald""duck""dunn murphydunn williehal tommalon loumarini mattmurphi alanrubin carriefish henrygibson johncandi kathleenfreeman johnleehook tomerhart geraldwal walterlevin alonzoatkin chakakhan armandcerami stevenwilliam kristioleson garymclarti joecutton laynebritton toniflem rosieshust paulreuben benpiazza gwenbanta laritaylor cindyfish elizabethhoy tonym.cond eugenej.anthoni deanhil jackorend geneschuldt charlesmountain frankoz johnlandi garyhouston judithbelushi-pisano elmorejam stephenbishop charlesnapi stevenspielberg curtclendenin twiggi"
406,the godfather: part ii,continu saga corleon crime famili young vito grow sicili 1910 new york 1950 michael attempt expand busi la vega hollywood cuba drama crime paramountpictur thecoppolacompani alpacino robertduval dianekeaton robertdeniro johncazal taliashir leestrasberg michaelv.gazzo g.d.spradlin richardbright francescadesapio orestebaldini gastonemoschin giuseppesillato brunokirbi franksivero morganak mariannahil leopoldotriest dominicchianes fayspain harrydeanstanton dannyaiello rogercorman williambow jamescaan tomrosqui amerigotot troydonahu johnaprea joespinel abevigoda terelivrano giannirusso mariacarta mariocoton carminecaridi carmineforesta kathleenbel ivonnecol romancoppola sofiacoppola shokosugi jamesgounari nickdiscenza josephmedaglia josephdellasort carmenargenziano joelogrippo ezioflagello liviogiorgi saveriamazzola titoalba johnnynaranjo eldamaida salvatorepo ignaziopappalardo andreamaugeri peterlacort vincentcoppola peterdonat tomdahlgren philfeldman joedenicola edwardvansickl gabriellabelloni venanciagrangerard g.d.spradlin ericayohn garykurtz conniemason frankpesc victorpujolsfaneyt juliegregg larryguardino buckhoughton richardmatheson johnmegna jayrasumni filomenaspagnuolo julianvoloshin shôkosugi romancoppola italiacoppola
407,full metal jacket,pragmat u marin observ dehuman effect .- vietnam war fellow recruit brutal boot camp train bloodi street fight hue drama war stanleykubrickproduct warnerbros. natant matthewmodin adambaldwin r.leeermey dorianharewood arlisshoward kevynmajorhoward johnterri bruceboa kieronjecchini jonstafford timcolceri peteredmund kirktaylor iantyl garylandonmil sallopez papillonsoo ngocl tanhungfrancion costasdinochimona keithhodiak petermerril herbertnorvil philipbailey johncurti boberichart stevehudson chrismaybach garysmith michaelanthonywilliam johnwilson stanleykubrick viviankubrick davidpalffi johnward philipettington
408,amadeus,incred stori geniu musician wolfgang amadeu mozart told flashback peer secret rival antonio salieri – confin insan asylum drama histori music warnerbros. f.murrayabraham tomhulc elizabethberridg roydotric simoncallow christineebersol jeffreyjon barbarabryn cynthianixon douglasseal charleskay kennybak martincavina roderickcook milandemjanenko peterdigesu patrickhin nicholaskepro philiplenkowski lisbethbartlett richardfrank hermanmeckl jonathanmoor brianpettif vincentschiavelli johnstrauss karl-heinzteub mirogrisa karelgult ladislavkrečm karelfiala johncarrafa hanabrejchová miriamchytilová kareleffa renégabzdyl karelhábl jiříkrytinář jankuželka jiřílír jitkamolavcová pavelnový janpohan thereseherz ivanpokorný milanrieh danavávrová juneanderson isobelbuchanan annehowel robinlegg felicitylott alexanderoliv samuelramey richardstilwel johntomlinson willardwhit micheleesposito zdeněkmahl vladimírsvitáček
409,raging bull,jake lamotta step box ring obliter oppon prizefight treat famili friend way tick time bomb readi go moment though want love someth alway seem come perhap violent bout paranoia jealousi kind rage help make champ real life wind alon drama unitedartist robertdeniro joepesci cathymoriarti frankvinc nicholascolasanto theresasaldana mariogallo johnturturro josephbono frankadoni charlesscorses ritabennett bernieallen genelebel victormagnotta shayduffin jacklotz kevinbreslin coleywallac freddenni harveyparri michaelbadalucco geraldinesmith mardikmartin petersavag danielp.cont richardmcmurray candymoor wallyk.bern allenjoseph martinscorses vincentbarbi robertdahdah vincentdipaolo martyfarrel charlesguardino r.michaelgiven chuckhick michaelcharleshil waltlaru angelolamonea gilperkin tonylip jerryschram mckenziewestmor jimmywilliam
410,annie hall,citi new york comedian alvi singer fall love ditsi anni hall comedi drama romanc unitedartist woodyallen dianekeaton tonyrobert carolkan paulsimon shelleyduval janetmargolin colleendewhurst christopherwalken donaldsymington russellhorton dickcavett marshallmcluhan traceywalt sigourneyweav lauriebird marklenard johnglov johndennisjohnston jimmckrel paulatrueman shelleyhack jeffgoldblum garymuled walterbernstein hyanzel mordecailawn joanneuman jonathanmunk helenludlam ruthvoln martinrosenblatt rashelnovikoff humphreydavi veronicaradburn wendygirard maryboylan christinejon johndoumanian chrisgampel danruskin vedbandhu johnnyhaym berniestyl trumancapot jancitron gregorydoucett
411,the right stuff,chronicl origin mercuri astronaut format america space program alan shepherd first american gu grissom benight astronaut noth work plan john glenn straight arrow boy scout bunch orbit earth remain pilot deke slayton scott carpent walli schirra drama histori warnerbros. theladdcompani fredward dennisquaid edharri scottglenn samshepard barbarahershey lancehenriksen veronicacartwright harryshear jeffgoldblum kimstanley pamelare scottpaulin charlesfrank donaldmoffat levonhelm maryjodeschanel scottwilson kathybak mickeycrock susankas mittiesmith royaldano davidclennon jimhayni anthonymunoz johnp.ryan williamruss maryapick johndehn davidgulpilil o-lanjon chuckyeag
412,das boot,german submarin hunt alli ship second world war soon becom hunt crew tri surviv surfac stretch boat limit action drama histori war adventur radiantfilmgmbh süddeutscherrundfunk columbiapicturescorpor bavariafilm westdeutscherrundfunk(wdr) twinbros.product jürgenprochnow herbertgrönemey klauswennemann hubertusbengsch martinsemmelrogg berndtaub erwinled martinmay heinzhoenig uweochsenknecht claude-oliverrudolph janfedd ralfricht ottosand skydumont joachimbernhard oliverstritzel konradbeck lutzschnel ritacadillac günterlamprecht jean-claudehoffmann arnokr helmutneumei wilhelmpietsch dirksalomon ulrichgünth marylinemoulard edwigepierr
413,the sting,set 1930 intric caper deal ambiti small time crook veteran con man seek reveng viciou crime lord murder one gang comedi crime drama universalpictur paulnewman robertredford robertshaw charlesdurn raywalston eileenbrennan haroldgould johnheffernan danaelcar jackkeho robertearljon jamessloyan charlesdierkop leepaul sallykirkland avonlong archjohnson edbakey bradsullivan johnquad dimitraarliss larryd.mann leonardbarr paulenemy jackcollin tomspratley kensansom ta-tanisha williambenedict robertbrubak kathleenfreeman susanfrench brucekimbal alexanderlockwood chuckmorrel byronmorrow pearlshear arthurtovey guyway joetornator
414,the terminator,post apocalypt futur reign tyrann supercomput teleport cyborg assassin known termin back 1984 kill sarah connor whose unborn son destin lead insurg 21st centuri mechan hegemoni meanwhil human resist movement dispatch lone warrior safeguard stop virtual indestruct kill machin action thriller sciencefict orionpictur pacificwestern hemdalefilm cinema84 eurofilmfund arnoldschwarzenegg michaelbiehn lindahamilton paulwinfield lancehenriksen bessmotta earlboen rickrossovich billpaxton brianthompson francocolumbu dickmil joefarago shawnschepp brucem.kern bradrearden williamwisherjr. kenfritz hettielynnehurt philipgordon stanyal lesliemorri hughfarrington harrietmedin jamesralston wayneston johne.bristol patrickpinney gregrobbin mariannemuellerleil mariangreen j.randolphharrison darrellmapson
415,braindead,sumatran rat monkey bite lionel cosgrov mother transform zombi begin kill transform entir town race keep thing control horror comedi wingnutfilm newzealandfilmcommiss avalon/nfustudio timbalm dianapeñalv elizabethmoodi ianwatkin brendakendal stephenpapp murraykean glenislevestam lewisrow stuartdeveni jedbrophi elizabethmulfax harrysinclair angelarobinson peterjackson davinawhitehous
416,glory,robert gould shaw lead us civil war first black volunt compani fight prejudic union armi confeder war tristarpictur freddiefieldsproduct matthewbroderick denzelwashington caryelw morganfreeman jihmikennedi andrebraugh johnfinn donovanleitch jdcullum bobgunton cliffdeyoung christianbask ronreacole jayo.sand alannorth richardriehl petermichaelgoetz
417,miller's crossing,set 1929 polit boss advisor part way fall woman drama thriller crime twentiethcenturyfoxfilmcorpor circlefilm johnturturro gabrielbyrn marciagayharden stevebuscemi albertfinney jonpolito j.e.freeman mikestarr almancini richardwood thomaston mariotodisco olekkrupa michaeljet lannyflaherti jeanettekontomitra louischarlesmounicouiii johnmcconnel dannyaielloiii helenjolli hildamclean montestarr donpicard salvatoreh.tornaben kevindeari michaelbadalucco charlesferrara estebanfernandez georgefernandez charlesgun davedrinkx daviddarlow robertlabross carlrooney jackharri jeryhewitt samraimi johnschnauderjr. zollylevin joeyancona billray williamprestonrobertson francesmcdormand michaelp.cahil
418,dead poets society,elit old fashion board school new england passion english teacher inspir student rebel convent seiz potenti everi day court disdain stern headmast drama touchstonepictur silverscreenpartnersiv robinwilliam ethanhawk robertseanleonard galehansen joshcharl dylankussman allelonruggiero jameswaterston normanlloyd kurtwoodsmith carlabelv leonpownal georgemartin alexandrapow laraflynnboyl
419,the graduate,recent colleg graduat find love triangl older woman daughter drama lawrenceturman dustinhoffman annebancroft katharineross murrayhamilton buckhenri brianaveri walterbrook williamdaniel elizabethwilson normanfel aliceghostley marionlorn eddragal
420,touch of evil,stark pervers stori murder kidnap polic corrupt mexican border town drama thriller crime universalinternationalpictures(ui) charltonheston janetleigh orsonwel josephcalleia akimtamiroff joannamoor raycollin dennisweav valentindevarga mortmil victormillan lalorio michaelsarg joilans harryshannon marlenedietrich zsazsagábor josephcotten billyhous mercedesmccambridg danwhit keenanwynn philharvey johndierk arlenemcquad kenmil waynetaylor gusschil williamtannen rustywescoatt evagabor
421,the bridge on the river kwai,classic stori english pow burma forc build bridg aid war effort japanes captor british american intellig offic conspir blow structur col nicholson command supervis construct acquir sens pride creation tri foil plan drama histori war columbiapicturescorpor horizonpictures(ii) williamholden alecguin jackhawkin sessuehayakawa jamesdonald geoffreyhorn andrémorel peterwilliam johnbox percyherbert haroldgoodwin annsear heihachirôôkawa keiichirôkatsumoto vilaiwanseeboonreaung
422,chinatown,privat eye jake gitt live murki moral climat sunbak pre world war ii southern california hire beauti socialit investig husband extra marit affair swept maelstrom doubl deal deadli deceit uncov web person polit scandal come crash togeth crime drama mysteri thriller paramountpictur penthous longroadproduct jacknicholson fayedunaway johnhuston perrylopez johnhillerman romanpolanski dianeladd royjenson richardbakalyan jameshong bruceglov joemantel royrobert noblewillingham rancehoward jessevint burtyoung leedebroux darrellzwerl nanduhind beulahquo jerryfujikawa belindapalm elliottmontgomeri georgejustin c.o.erickson fritziburr charlesknapp claudiomartinez federicoroberto allanwarnick johnholland jimburk dennyarnold elizabethhard johnrog cecilelliott pauljenkin bobgolden richardwarren
423,the treasure of the sierra madre,fred c dobb bob curtin luck tampico mexico 1925 meet grizzl prospector name howard decid join search gold wild central enorm difficulti eventu succeed find bandit element especi greed threaten turn success disast action adventur drama western warnerbros. humphreybogart walterhuston timholt brucebennett bartonmaclan alfonsobedoya arturosotorangel manueldondé josétorvay margaritoluna robertblak johnhuston jackholt annsheridan jaysilverheel guillermocal robertocañedo spencerchan jacquelinedalya ralphdunn patflaherti martingarralaga julianrivero harryj.vejar cliftonyoung
424,the shining,jack torranc accept caretak job overlook hotel along wife wendi son danni must live isol rest world winter prepar mad lurk within horror thriller hawkfilm warnerbros. peregrin jacknicholson shelleyduval dannylloyd scatmancroth barrynelson philipston joeturkel annejackson tonyburton barrydennen liabeldam billiegibson
425,stand by me,death friend writer recount boyhood journey find bodi miss boy crime drama columbiapictur actiiicommun thebodi actiii wilwheaton riverphoenix coreyfeldman kiefersutherland richarddreyfuss johncusack caseysiemaszko bradleygregg marshallbel garyriley francesleemccain scottbeach jasonoliv brucekirbi williambrond
426,evil dead ii,ash william girlfriend linda find log cabin wood voic record archeologist record recit ancient chant “ book dead .” play evil power unleash take ’ bodi horror comedi fantasi renaissancefilm rosebudproduct brucecampbel sarahberri danhick kassiedepaiva denisebixl richarddomei johnpeak louhancock tedraimi
427,the great escape,nazi exasper number escap prison camp rel small alli prison reloc high secur escap proof camp sit remaind war undaunt plan one ambiti attempt world ii base true stori adventur drama histori thriller war unitedartist themirischcorpor stevemcqueen jamesgarn richardattenborough jamesdonald charlesbronson donaldpleas jamescoburn hannesmessem davidmccallum gordonjackson johnleyton anguslenni nigelstock robertgraf judtaylor hansreis harryriebau williamrussel robertfreitag ulrichbeig georgemikel lawrencemontaign robertdesmond tilkiw heinzweiss tomadam karl-ottoalberti
428,the deer hunter,group work class friend decid enlist armi vietnam war find hellish chao -- nobl ventur imagin left steven marri pregnant girlfriend michael nick love woman three differ men upon return drama war universalpictur emifilmsltd. robertdeniro johncazal johnsavag christopherwalken merylstreep georgedzundza rutanyaalda pierresegui amywright richardkuss joegrifasi denniswatlington shirleystol chuckaspegren maryannhaenel madykaplan christophercolombijr. victoriakarnafel jackscardino joestrnad helentomko charlenedarrow jane-colettedisko michaelwollet robertbeard joedzizmba stephenkopestonski johnf.buchmelteriii frankdevor tombeck lynnkongkham nongnujtimruang popaope daleburrough parrishick samuimuang-intata sapoxcolisium vitoonwinwitoon somsaksengvilai charannusvanon jiamgongtongsmoot chaipeyawan manahansa sombotjumpanoi phipmane dingsanto kriengchaiyapuk otpalapoo chokchaimahasok
429,groundhog day,narcissist tv weatherman along attract distant produc mawkish cameraman sent report groundhog day small town punxsutawney find repeat romanc fantasi drama comedi columbiapictur billmurray andiemacdowel chriselliott stephentobolowski briandoyle-murray angelapaton rickducommun rickoverton robinduk williegarson kenhudsoncampbel michaelshannon haroldrami maritageraghti lespodewel tommilanovich peggyroed davidpasquesi leer.sellar c.o.erickson sandymaschmey hyndenwalch barbaraanngrim lucinapaquet brendapickleman ericsaiet robriley tonydeguid robertminkoff renisantoni
430,unforgiven,william munni retir ruthless killer turn gentl widow hog farmer help support two motherless children accept one last bounti hunter mission find men brutal prostitut join former partner cocki greenhorn take corrupt sheriff western malpasoproduct warnerbros. clinteastwood genehackman morganfreeman richardharri jaimzwoolvett annalevin saulrubinek francesfish davidmucci robcampbel anthonyjam ronwhit jeffersonmappin jeremyratchford philipmauricehay tarafrederick beverleyelliott liisarepo-martel shanemei robertkoon minae.mina johnpyper-ferguson waltermarsh larryrees blairhayn frankc.turn lochlynmunro bencardin michaelcharroi michaelmaur larryjoshua georgeorrison greggoossen philipettington
